mileage,price,model,year_raw,description,brand,year,engine_size,category
13413.0,13995.0,S 1000 RR,  2014 BMW Sportbike,"This   2014 BMW S1000RR is for sale at Cycle Werks in Barrington in Barrington IL and is in excellent condition with only 13413 miles.  Our service department has inspected the bike and completed an oil and oil filter change along with also installing a new air filter.  They also performed a brake fluid flush so that this bike is ready to ride.  It is equipped with Gear Shift Assist, Heated Grips , Dynamic Traction Control, Tinted Windscreen, Adjustable Brake and Clutch Levers, Battery Tender Lead, TRW Shifter, Rear Spools and an Akrapovic Exhaust.",BMW,2014,1000.0,Sportbike
45144.0,7995.0,R 1200 RT,  2011 BMW Sport Touring,,BMW,2011,1200.0,Sport Touring
7339.0,13500.0,R 1100 S Boxer Cup,  2004 BMW Sport Touring,,BMW,2004,1100.0,Sport Touring
4570.0,17995.0,K 1600 B,  2018 BMW Touring,"This   2018 BMW K1600B is for sale at Cycle Werks in Barrington in Barrington IL and is in immaculate condition with only 4570 miles.  Our service department has inspected the bike and performed an oil and oil filter change so this bike is ready to ride.  It is equipped with the Premium Package, Bluetooth Interface Control, Dynamic Electronic Suspension Adjustment, Hill Start Control, Touring Package, Floor Boards, Central Locking System, ABS Pro, Auxiliary LED Running Lights, Engine Protection Bars, Adaptive Headlight, Dynamic Traction Control, Keyless Ride, Gear Shift Assist Pro, Audio System w/Radio, Reverse Assist, Tire Pressure Monitors, Power Adjusting Windscreen, Heated Seat, Heated Grips, Anti Theft Alarm and the Safety Plus Package.",BMW,2018,1600.0,Touring
21528.0,5595.0,G 650 GS,  2009 BMW Dual Sport,"This   2009 BMW G650GS is for sale at Cycle Werks in Barrington in Barrington IL and is in excellent condition with 21527 miles.  Our service department has inspected the bike and performed an oil and oil filter change along with performing a chain service on the bike.  It is ready to ride!  This bike has many accessories which include a BMW Top Case, Adventure Style Foot Pegs, V Stream Windscreen, Auxiliary Running Lights, Bash Plate, Battery Tender Lead, Hand Guards, Side Protection Bars, Anti Lock Braking System, Side Stand Plate Enlarger, Center Stand and Heated Grips.",BMW,2009,650.0,Dual Sport
13698.0,4999.0,F 650,  1997 BMW Sport Touring,,BMW,1997,650.0,Sport Touring
548.0,14995.0,R 18 CLASSIC,  2021 BMW Standard,"This one owner   2021 BMW R18 Classic is for sale at Cycle Werks in Barrington in Barrington IL and is in immaculate condition with only 548 miles.  Our service department has inspected the bike and performed the 600 mile service so this bike is ready to ride.  It has factory warranty remaining until 7/11/2025 or 36000 miles whichever comes first and is equipped with the Premium Package, Adaptive Headlight, Hill Start Control, Floor Boards, Select Package, Headlight Pro, Reverse Assist, Chrome Engine Guards, Machined Roland Sands Headlight Ring, Machined Roland Sands Gas Cap and a Battery Tender Lead.",BMW,2021,18.0,Standard
10524.0,19995.0,R 1250 RS,  2020 BMW Sport Touring,"This   2020 BMW R1250RS is for sale at Cycle Werks in Barrington in Barrington Iland is in excellent condition with 10524 miles.  Our service department has inspected the bike and performed the 12K service which included an oil and oil filter change along with changing the rear drive oil and performing a brake fluid flush.  They also installed new spark plugs and a new air filter so this bike is ready to ride.  It is equipped with the Select Package, Dynamic Electronic Suspension Adjustment, Gear Shift Assist Pro, Comfort Package, Dynamic Package, GPR Preparation, Exclusive Style Package, ABS Pro, Tire Pressure Monitors, Center Stand, Dynamic Traction Control, Keyless Ride, Ride Modes Pro, Touring Package, Chrome Exhaust Pipe, Heated Grips, Cruise Control, Luggage Grid, Battery Tender Lead and BMW Saddle Bags.",BMW,2020,1250.0,Sport Touring
24398.0,15900.0,R 1200 GS ADVENTURE,  2015 BMW Dual Sport,,BMW,2015,1200.0,Dual Sport
2.0,22860.0,R 1250 GS Triple Black,New 2023 BMW Dual Sport,"Unbridled curiosity, the courage to discover something new again and again: This is what the R 1250 GS stands for. It has been an icon for four decades - and still continues to inspire with new features. The new LED light design gives it a brilliant appearance and offers maximum visibility: This is ensured by the LED swivelling headlights with adaptive headlights. Additional equipment such as seat heating give you extra comfort and, thanks to the seven riding modes, you can master any driving situation with confidence. With this GS, your thirst for discovery knows no bounds. You live the #SpiritOfGS.",BMW,2023,1250.0,Dual Sport
0.0,22990.0,R 18 B 719 Galaxy Dust Metallic/Titan Silver 2 Metallic,New 2022 BMW Cruiser,"The R 18 B brings together full Boxer power with BMW Motorrad touring history and the emotional character of the R 18 family. The large front end featuring a fork-mounted fairing and low windscreen demonstrate a strong character. The 1802 cc of the black Big Boxer leaves no room for speculation. Still, its not all about displacement. The R 18 B goes significantly further. Its made for customizing. Turn it into your unique bike and bring out the #SoulFuel.",BMW,2022,18.0,Cruiser
4456.0,22900.0,R 18 TRANSCONTINENTAL,  2022 BMW Cruiser,,BMW,2022,18.0,Cruiser
831.0,14995.0,R 18 CLASSIC,  2021 BMW Standard,"This one owner   2021 BMW R18 Classic is for sale at Cycle Werks in Barrington in Barrington IL and is in immaculate condition with only 831 miles.  Our service department has inspected the bike and performed an oil and oil filter change so this bike is ready for the riding season.  This bike has factory warranty remaining until 4/05/2024 or 36000 miles whichever comes first and is equipped with the Premium Package, Locking Fuel Filler Cap, Headlight Pro, Select Package, Adaptive Headlight, Hill Start Control, Design Option Chrome, Pinstripe, Reverse Assist, Heated Grips, Anti Theft Alarm System, Cruise Control, Battery Tender Lead and a Mustang Day Rider Seat.",BMW,2021,18.0,Standard
4153.0,18995.0,R 1250,  2019 BMW Sport Touring,,BMW,2019,1250.0,Sport Touring
3080.0,14995.0,R 1250 RS,  2020 BMW Sport Touring,"This pre-owned 2020 BMW R 1250 RS Premium sport touring motorcycle in Imperial Blue Metallic is available for sale at Euro Cycles of Tampa Bay Florida. 8509 Gunn Hwy, Odessa, FL 33556. ph: 813-926-9937OPTIONS:0ZSL Select Package0182 DTC (Dynamic Traction Control0191 Dynamic ESA0193 Keyless Ride0222 Gear Shift Assist Pro0224 Ride Modes Pro0230 Comfort Package0233 Touring Package0235 Dynamic Package0253 Tank Cover Pure0272 GPS Preparation0350 Chrome Exhaust Pipe0452 Exclusive Style Package05AC ABS Pro0519 Heated Grips0530 TPM (Tire Pressure Monitors0538 Cruise Control0636 Center Stand0665 Luggage Grid0681 Saddle Bag Mounts0992 Market Launch EquipmentWunderlich Cylinder Head GuardsLED Driving LightsAdmore LED Tail Light",BMW,2020,1250.0,Sport Touring
4264.0,10295.0,F 900 XR,  2020 BMW Dual Sport,"This   2020 BMW F900XR is for sale at Cycle Werks in Barrington in Barrington IL and is in excellent condition with only 4264 miles.  Our service department has inspected the bike and performed the 6K service which included an oil and oil filter change along with a brake fluid flush and also a chain service.  This bike has BMW factory warranty remaining until 10/08/2023 or 36000 miles whichever comes first and is equipped with Dynamic Engine Brake Control, Ride Modes Pro, ABS Pro, Connectivity, Dynamic Traction Control, Exclusive Style Package, Hand Protection with Extensions, Tinted Windscreen, TFT Screen Protector and a Battery Tender Lead. This bike is ready to ride!",BMW,2020,900.0,Dual Sport
7407.0,14695.0,S 1000 XR,  2018 BMW Dual Sport,"This   2018 BMW S1000XR is for sale at Cycle Werks in Barrington in Barrington IL and is in immaculate condition with only 7407 miles.  Our service department has inspected the bike and performed an oil and oil filter change along with a Chain Service and a Brake Fluid Flush.  This bike is equipped with the Premium Package, Dynamic Electronic Suspension Adjustment, Ride Modes Pro, Heated Grips, Hand Protection, Low Seat, Dynamic Traction Control, Gear Shift Assist Pro, GPS Preparation, Low Suspension, ABS Pro, Cruise Control, Center Stand, Tinted Windscreen with Deflector, Battery Tender Lead, Top Case, Carbon Fiber Fuel Filler Surround, Carbon Fiber Ignition Key Surround and Saddle Bag Mounts.",BMW,2018,1000.0,Dual Sport
0.0,24845.0,R 1250 GS,New 2023 BMW Sport Touring,"The BMW R 1250 GS;;Boundless thirst for adventure;;Unbridled curiosity, the courage to discover something new again and again: This is what the R 1250 GS stands for. It has been an icon for four decades - and still continues to inspire with new features. The new LED light design gives it a brilliant appearance and offers maximum visibility: This is ensured by the LED swivelling headlights with adaptive headlights. Additional equipment such as seat heating give you extra comfort and, thanks to the seven riding modes, you can master any driving situation with confidence. With this GS, your thirst for discovery knows no bounds. You live the #SpiritOfGS.",BMW,2023,1250.0,Sport Touring
3707.0,6700.0,G 310,  2022 BMW Dual Sport,,BMW,2022,310.0,Dual Sport
428.0,4999.0,G 310 R,  2020 BMW Standard,RIDING PLEASURE.,BMW,2020,310.0,Standard
1476.0,5500.0,G 310 GS,  2019 BMW Standard,Everyday adventures.,BMW,2019,310.0,Standard
3700.0,13494.0,S 1000 XR,  2016 BMW Sport Touring,,BMW,2016,1000.0,Sport Touring
4467.0,4900.0,G 310 GS,  2019 BMW Dual Sport,"This pre-owned 2019 BMW G 310 GS dual sport motorcycle in Racing Red is available for sale at Euro Cycles of Tampa Bay Florida. 8509 Gunn Hwy, Odessa, FL 33556. ph: 813-926-9937OPTIONS:Upgraded LED HeadlightLower Engine GuardsUpper Engine GuardsRAM Mount MirrorsOff Road Skid PlateTruactive Phone MountHandlebar RisersLarge Light Smoke Windscreen",BMW,2019,310.0,Dual Sport
857.0,18999.0,R 1200 GS RALLYE,  2017 BMW Dual Sport,Condition:,BMW,2017,1200.0,Dual Sport
29896.0,14900.0,K 1600 GTL EXCLUSIVE,  2014 BMW Touring,,BMW,2014,1600.0,Touring
7033.0,23495.0,R 1250 GS Adventure,  2021 BMW Sport Touring,"The BMW R 1250 GS Adventure;;No destination is too far;;The world is there to be discovered. There's always something new. The R 1250 GS is the queen of the touring enduro It's just made for impassable routes, adverse conditions and the most remote destinations. That is why we have further optimized the high standard of touring suitability and comfort. From driver assistance systems, lighting technology and advanced riding modes to a USB socket, the R 1250 GS Adventure offers you everything you need to explore unknown places. And thanks to the powerful boxer engine with BMW ShiftCam, you can reach any destination with ease. Because we know: Your ideas for travelling the world are endless. Just typical #SpiritOfGS.",BMW,2021,1250.0,Sport Touring
26300.0,16495.0,R 1200 GS ADVENTURE,  2017 BMW Touring,"Very clean and well maintained R1200 GS Adventure in Triple Black, with thousands in upgrades. Premium trim with keyless start, heated grips, electronic suspension, ride modes plus, and lots more. I had the clutch completely replaced last season, as well as a recent oil change. This bike runs like new, and needs nothing for at least 4-5k miles.",BMW,2017,1200.0,Touring
11100.0,12900.0,K 1300 S,  2015 BMW Sport Touring,,BMW,2015,1300.0,Sport Touring
0.0,29050.0,K 1600 B 719 Midnight s,New 2023 BMW Touring,"With the K 1600 B one thing is for sure: nothing is more exciting than a long tour. The vast landscape whizzes past you while you are totally relaxed. Enjoy unleashing the power of the legendary six-cylinder engine. From then on, you are virtually eating up the road ahead of you, turning relaxed cruising with luxurious comfort into adventurous performance touring. Just like you would expect from the elongated and dynamically drawn bagger outline. Thanks to the K 1600 B, youre happy to be riding a little longer, whether on your own or with friends. Simply put: #RideAndShare.",BMW,2023,1600.0,Touring
0.0,23920.0,R 1250 GS,New 2023 BMW Dual Sport,"Unbridled curiosity, the courage to discover something new again and again: This is what the R 1250 GS stands for. It has been an icon for four decades - and still continues to inspire with new features. Additional equipment such as seat heating give you extra comfort and, thanks to the seven riding modes, you can master any driving situation with confidence. With this GS, your thirst for discovery knows no bounds. You live the #SpiritOfGS.",BMW,2023,1250.0,Dual Sport
0.0,23025.0,R 1250 GS,New 2023 BMW Dual Sport,"Unbridled curiosity, the courage to discover something new again and again: This is what the R 1250 GS stands for. It has been an icon for four decades  and still continues to inspire with new features. The new LED light design gives it a brilliant appearance and offers maximum visibility: This is ensured by the LED swiveling headlights with adaptive headlights. Additional equipment such as seat heating give you extra comfort and, thanks to the seven riding modes, you can master any driving situation with confidence. With this GS, your thirst for discovery knows no bounds. You live the #SpiritOfGS.",BMW,2023,1250.0,Dual Sport
0.0,23025.0,R 1250 GS,New 2023 BMW Dual Sport,"Unbridled curiosity, the courage to discover something new again and again: This is what the R 1250 GS stands for. It has been an icon for four decades - and still continues to inspire with new features. Additional equipment such as seat heating give you extra comfort and, thanks to the seven riding modes, you can master any driving situation with confidence. With this GS, your thirst for discovery knows no bounds. You live the #SpiritOfGS.",BMW,2023,1250.0,Dual Sport
50586.0,10495.0,R 1200 GS,  2014 BMW Dual Sport,"This pre-owned 2014 BMW R 1200 GS dual sport motorcycle in Thunder Grey Metallic is available for sale at Euro Cycles of Tampa Bay Florida. 8509 Gunn Hwy, Odessa, FL 33556. ph: 813-926-9937",BMW,2014,1200.0,Dual Sport
2800.0,7300.0,F 700 GS,  2013 BMW Dual Sport,,BMW,2013,700.0,Dual Sport
16325.0,26500.0,R 100 GS,  1992 BMW Dual Sport,,BMW,1992,100.0,Dual Sport
6.0,30950.0,K 1600 GRAND AMERICA OPTION 719 MIDNIGHT,New 2023 BMW Touring,"Traveling in pairs means experiencing every mile twice. Makes sense, right? However, with the K 1600 Grand America you will experience more. Its six-cylinder engine lets you casually cruise towards the horizon: well equipped with footboards, a top case featuring a backrest and high windscreen. As a result, it wont be easy to say which was the most beautiful moment of the tour at the end of each day. Still, the stories about every mile will feel at least twice as good. Simply put: #RideAndShare",BMW,2023,1600.0,Touring
18384.0,10296.0,R 1200 R,  2016 BMW Sport Touring,,BMW,2016,1200.0,Sport Touring
51956.0,10500.0,R 1200 GS,  2014 BMW Dual Sport,,BMW,2014,1200.0,Dual Sport
59645.0,4900.0,R 1100 RT ABS,  2000 BMW Touring,,BMW,2000,1100.0,Touring
0.0,20020.0,R 18 Classic,New 2023 BMW Standard,The BMW R 18 Classic;;Iconic. Nostalgic. Soulfuel.;;The R 18 Classic is a modern cruiser with a nostalgic sense of BMW design. It reminds one of the first BMW cruisers suitable for touring. It also invokes timeless marks of our motorcycle history. The heart of the machine is obviously the boxer engine with the most displacement we have ever built. It is designed for relaxing tours and pure enjoyment. Consistently developed history - simply put: #SoulFuel.,BMW,2023,18.0,Standard
10.0,27465.0,R 1250 RT Alpine White,New 2023 BMW Touring,"The R 1250 RT is the perfect companion for your tour: Its legendary BMW ShiftCam Boxer engine pulls just as powerfully over country roads as it does over winding mountain passes. Its new front end makes it look more dynamic and slimmer. On the other hand, there is a wide range of features such as the extra-large 10.25"" TFT display or available Active Cruise Control (ACC) - providing extra comfort on your journey. At the end of the day, you sit back relaxed knowing that the next tour is always the greatest.",BMW,2023,1250.0,Touring
0.0,17515.0,F 850 GS Adventure,New 2022 BMW Sport Touring,"The BMW F 850 GS Adventure;;;;The world becomes the adventure;;;;This bike was created for long trips and demanding terrains: The F 850 GS Adventure is at home in the world - and it is clear to see. With the enhanced standard equipment like the TFT display and BMW Motorrad Connected, the USB charge port as well as ABS Pro and DTC, this dual-sport motorcycle is even better prepared for long tours around the globe. Experience the #SpiritOfGS with a companion that lets your curiosity run free - regardless of where your travels take you.",BMW,2022,850.0,Sport Touring
5938.0,10500.0,R 1200 GS,  2010 BMW Touring,,BMW,2010,1200.0,Touring
1668.0,8450.0,R 80 /7,  1977 BMW Classic / Vintage,Garage Kept,BMW,1977,80.0,Unknown
0.0,25495.0,R 18 B,New 2023 BMW Standard,"The BMW R 18 B;;Raw power - pure soul;;The R 18 B brings together full Boxer power with BMW Motorrad touring history and the emotional character of the R 18 family. The large front end featuring a fork-mounted fairing and low windscreen demonstrate a strong character. The 1802 cc of the black Big Boxer leaves no room for speculation. Still, it's not all about displacement. The R 18 B goes significantly further. It's made for customizing. Turn it into your unique bike and bring out the #SoulFuel.",BMW,2023,18.0,Standard
2.0,20225.0,R 18,New 2023 BMW Cruiser,100th Anniversary limited edition,BMW,2023,18.0,Cruiser
2.0,27460.0,R 18 Transcontinental,New 2023 BMW Cruiser,"BMW cover up to 4 Payments of up to $333 each MY23 R 18 B & R 18 Transcontinental for a total of up to $1,332",BMW,2023,18.0,Cruiser
6.0,25145.0,R 1250 GS Adventure,New 2023 BMW Dual Sport,"The world is there to be discovered. There s always something new. The R 1250 GS is the queen of the touring enduro It s just made for impassable routes, adverse conditions and the most remote destinations. That is why we have further optimized the high standard of touring suitability and comfort. From driver assistance systems, lighting technology and advanced riding modes to a USB socket, the R 1250 GS Adventure offers you everything you need to explore unknown places. And thanks to the powerful boxer engine with BMW ShiftCam, you can reach any destination with ease. Because we know: Your ideas for travelling the world are endless. Just typical .",BMW,2023,1250.0,Dual Sport
2.0,23995.0,R 18 B,New 2023 BMW Cruiser,"BMW cover up to 4 Payments of up to $333 each MY23 R 18 B & R 18 Transcontinental for a total of up to $1,332",BMW,2023,18.0,Cruiser
6.0,24490.0,R 1250 GS,New 2023 BMW Dual Sport,Aftermarket LED lightsTouratech Engine GuardsTax & Labor incld.,BMW,2023,1250.0,Dual Sport
2.0,23500.0,R 18 B,New 2023 BMW Cruiser,"BMW cover up to 4 Payments of up to $333 each MY23 R 18 B & R 18 Transcontinental for a total of up to $1,332",BMW,2023,18.0,Cruiser
2.0,27985.0,R 18 Transcontinental,New 2023 BMW Cruiser,"BMW cover up to 4 Payments of up to $333 each MY23 R 18 B & R 18 Transcontinental for a total of up to $1,332",BMW,2023,18.0,Cruiser
2.0,23305.0,R 18 Classic,New 2023 BMW Cruiser,"BMW cover up to 4 Payments of up to $250 each MY23 R 18 Classic & R 18 for a total of up to $1,000",BMW,2023,18.0,Cruiser
201.0,22495.0,2023 BMW R18 B Gravity Blue Metallic,New 2023 BMW Cruiser,"The R 18 B brings together full Boxer power with BMW Motorrad touring history and the emotional character of the R 18 family. The large front end featuring a fork-mounted fairing and low windscreen demonstrate a strong character. The 1802 cc of the black Big Boxer leaves no room for speculation. Still, its not all about displacement. The R 18 B goes significantly further. Its made for customizing. Turn it into your unique bike and bring out the #SoulFuel.",BMW,2023,2023.0,Cruiser
10.0,25295.0,R 1250 GS Adventure GS Trophy,New 2023 BMW Dual Sport,"The world is there to be discovered. Theres always something new. The R 1250 GS is the queen of the touring enduro Its just made for impassable routes, adverse conditions and the most remote destinations. That is why we have further optimized the high standard of touring suitability and comfort. From driver assistance systems, lighting technology and advanced riding modes to a USB socket, the R 1250 GS Adventure offers you everything you need to explore unknown places. And thanks to the powerful boxer engine with BMW ShiftCam, you can reach any destination with ease.",BMW,2023,1250.0,Dual Sport
150.0,17995.0,R 18 B,  2022 BMW Cruiser,,BMW,2022,18.0,Cruiser
108.0,16464.0,F 850 GS 850 GS ADVENTURE,New 2022 BMW Dual Sport,"Live the challenge. Ride on where others turn back. Turn challenges into opportunities. This is the . In this process, the BMW F 850 GS is perfectly streamlined for off-roading, as can be seen from its 21-inch front wheel. What matters is your curiosity and what drives you regardless of how far or where you want to ride. The expanded standard equipment and a variety of special equipment and special accessories means that you can easily discover what lies beyond the horizon with the F 850 GS.",BMW,2022,850.0,Dual Sport
4.0,29540.0,K 1600 GT,New 2022 BMW Sport Touring,Your trip is perfect if you have forgotten everything you left behi,BMW,2022,1600.0,Sport Touring
5248.0,13990.0,F 850 GS 850 GS ADVENTURE,  2021 BMW Dual Sport,New BMW Motorcycles,BMW,2021,850.0,Dual Sport
1049.0,12750.0,R 18,  2021 BMW Cruiser,UB6D55284 / R 18 Pure - K34 / Color: Black Storm Metallic - ND2 / Factory Options: Premium Package - 0ZPP / Adaptive Headlight 134 / Hill Start Control 204 / Design Option Chrome - 035A / Passenger Kit 413 / Reverse Assist - 05AA / Heated Grips 519 / Select Package - 0ZSL / Locking Fuel Filler Cap - 017C / Headlight Pro 219 / White Pinstripe - 035B / Special Edition - 047B / Brake Light US - 05AB / Anti Theft Alarm System 603 / Miles (aprox) -  480 / Year - 2021,BMW,2021,18.0,Cruiser
